"generator" "L" "R" "n" "h" "run" "nsols"
"wcorr" 1 50 400 11 11 2
"wcorr" 1 50 400 1 12 23300
"wcorr" 1 50 400 2 12 8136
"wcorr" 1 50 400 3 12 4743
"wcorr" 1 50 400 4 12 21288
"uncorr" 1 50 50 5 10 1
"uncorr" 1 50 200 8 19 10
"wcorr" 1 50 400 5 12 461865
"wcorr" 1 50 400 6 12 43262
"wcorr" 1 50 400 7 12 183
"wcorr" 1 50 400 8 12 109
"wcorr" 1 50 400 9 12 221
"wcorr" 1 50 400 10 12 4642
"wcorr" 1 50 400 11 12 3640
"wcorr" 1 50 400 1 13 344
"wcorr" 1 50 400 2 13 25
"wcorr" 1 50 400 3 13 35
"uncorr" 1 50 200 9 19 1
"wcorr" 1 50 400 4 13 32748
"wcorr" 1 50 400 5 13 8655
"wcorr" 1 50 400 6 13 194966
"wcorr" 1 50 400 7 13 1015883
"wcorr" 1 50 400 8 13 334000
"wcorr" 1 50 400 9 13 119
"wcorr" 1 50 400 10 13 822
"wcorr" 1 50 400 11 13 69
"wcorr" 1 50 400 1 14 10393
"wcorr" 1 50 400 2 14 139
"uncorr" 1 50 200 10 19 6
"wcorr" 1 50 400 3 14 9832
"wcorr" 1 50 400 4 14 59234
"wcorr" 1 50 400 5 14 1443
"wcorr" 1 50 400 6 14 45776535
"wcorr" 1 50 400 7 14 334341
"wcorr" 1 50 400 8 14 2368
"wcorr" 1 50 400 9 14 17
"wcorr" 1 50 400 10 14 12785
"wcorr" 1 50 400 11 14 771
"wcorr" 1 50 400 1 15 256
"uncorr" 1 50 200 11 19 1
"wcorr" 1 50 400 2 15 11511
"wcorr" 1 50 400 3 15 655
"wcorr" 1 50 400 4 15 1470
"wcorr" 1 50 400 5 15 5
"wcorr" 1 50 400 6 15 290606033
"wcorr" 1 50 400 7 15 236412
"wcorr" 1 50 400 8 15 4646
"wcorr" 1 50 400 9 15 95787
"wcorr" 1 50 400 10 15 3062
"wcorr" 1 50 400 11 15 1392
"uncorr" 1 50 200 1 20 1
"wcorr" 1 50 400 1 16 937
"wcorr" 1 50 400 2 16 390
"wcorr" 1 50 400 3 16 2434805
"wcorr" 1 50 400 4 16 32
"wcorr" 1 50 400 5 16 2166
"wcorr" 1 50 400 6 16 1638487394
"wcorr" 1 50 400 7 16 28
"wcorr" 1 50 400 8 16 2368
"wcorr" 1 50 400 9 16 23361
"wcorr" 1 50 400 10 16 3958
